code,date,uplimit_times,fake_time,uplimit_time,break_time,min_bigorder,yield_rate
000810,2020-01-02,13,2020-01-02 13:43:27.190,2020-01-02 13:41:20.420,2020-01-02 13:50:49.070,1,0.012130401819560266
002503,2020-01-02,18,2020-01-02 13:35:02.920,2020-01-02 13:30:50.100,2020-01-02 13:39:18.430,1,-0.02281368821292773
002623,2020-01-02,3,2020-01-02 14:44:22.980,2020-01-02 10:24:38.260,2020-01-02 15:00:00.000,1,-0.01589889930697108
300132,2020-01-02,1,2020-01-02 09:38:06.100,2020-01-02 09:37:41.510,2020-01-02 09:43:40.170,1,0.039571310799670016
300264,2020-01-02,3,2020-01-02 10:49:22.510,2020-01-02 10:48:13.120,2020-01-02 15:00:00.000,1,0.10000000000000007
300792,2020-01-02,1,2020-01-02 09:51:36.160,2020-01-02 09:50:59.970,2020-01-02 09:51:48.500,1,-0.0017495111659977525
000892,2020-01-03,4,2020-01-03 09:48:10.670,2020-01-03 09:44:38.070,2020-01-03 15:00:00.000,1,-0.009063444108761365
002041,2020-01-03,5,2020-01-03 09:47:37.920,2020-01-03 09:46:55.180,2020-01-03 09:48:14.120,1,-0.0997566909975669
002530,2020-01-03,4,2020-01-03 09:55:06.370,2020-01-03 09:54:17.540,2020-01-03 09:55:37.730,1,0.07560137457044669
002530,2020-01-03,25,2020-01-03 14:13:21.900,2020-01-03 13:31:15.140,2020-01-03 15:00:00.000,1,0.07560137457044669
002878,2020-01-03,8,2020-01-03 10:53:42.670,2020-01-03 09:49:10.050,2020-01-03 13:00:02.810,1,-0.054901960784313635
300189,2020-01-03,2,2020-01-03 10:36:38.030,2020-01-03 10:36:14.310,2020-01-03 15:00:00.000,1,-0.028645833333333263
300592,2020-01-03,1,2020-01-03 09:36:27.350,2020-01-03 09:36:14.040,2020-01-03 09:36:41.710,1,-0.07093195931959329
300643,2020-01-03,1,2020-01-03 10:28:02.030,2020-01-03 10:27:31.760,2020-01-03 10:30:37.300,1,0.05591916083512905
002165,2020-01-15,2,2020-01-15 14:33:47.820,2020-01-15 14:33:18.930,2020-01-15 14:34:26.400,1,-0.052631578947368585
002776,2020-01-15,6,2020-01-15 13:21:07.240,2020-01-15 13:20:24.330,2020-01-15 15:00:00.000,1,-0.01345755693581785
300202,2020-01-15,3,2020-01-15 10:50:14.930,2020-01-15 10:49:24.930,2020-01-15 10:56:59.770,1,-0.04083204930662565
000700,2020-01-16,13,2020-01-16 10:13:40.210,2020-01-16 10:12:17.410,2020-01-16 15:00:00.000,1,0.09960681520314553
000998,2020-01-16,2,2020-01-16 14:37:31.400,2020-01-16 14:37:00.070,2020-01-16 14:40:10.280,1,-0.02491614758025873
300471,2020-01-16,1,2020-01-16 09:41:02.020,2020-01-16 09:39:35.240,2020-01-16 09:41:06.740,1,0.04406130268199249
300573,2020-01-16,1,2020-01-16 13:28:39.160,2020-01-16 13:05:24.380,2020-01-16 13:35:18.730,1,0.0
300603,2020-01-16,1,2020-01-16 10:03:01.220,2020-01-16 10:02:39.200,2020-01-16 10:10:08.100,1,0.09992810927390372
002166,2020-01-20,2,2020-01-20 10:10:50.230,2020-01-20 10:09:59.920,2020-01-20 10:11:14.610,1,0.10000000000000007
002316,2020-01-20,3,2020-01-20 11:02:10.040,2020-01-20 11:01:17.490,2020-01-20 11:02:33.960,1,-0.044071353620146914
002324,2020-01-20,2,2020-01-20 14:00:14.450,2020-01-20 13:59:58.300,2020-01-20 14:00:43.020,1,-0.024621212121212155
002529,2020-01-20,1,2020-01-20 09:40:11.840,2020-01-20 09:35:58.460,2020-01-20 10:13:05.310,1,0.06323529411764706
002603,2020-01-20,17,2020-01-20 13:00:00.720,2020-01-20 11:06:57.860,2020-01-20 15:00:00.000,1,0.10007047216349553
300221,2020-01-20,1,2020-01-20 09:32:22.900,2020-01-20 09:31:38.430,2020-01-20 09:33:03.690,1,-0.09538002980625926
300318,2020-01-20,1,2020-01-20 14:38:56.060,2020-01-20 14:38:03.570,2020-01-20 15:00:00.000,1,0.10044642857142838
300603,2020-01-20,5,2020-01-20 09:57:21.520,2020-01-20 09:51:07.400,2020-01-20 15:00:00.000,1,0.1001188354129532
000700,2020-01-21,57,2020-01-21 13:30:43.640,2020-01-21 13:27:43.570,2020-01-21 13:50:39.480,1,0.10049261083743843
000952,2020-01-21,2,2020-01-21 13:00:37.050,2020-01-21 13:00:00.330,2020-01-21 13:01:51.750,1,-0.0381315538608199
002584,2020-01-21,1,2020-01-21 09:50:07.210,2020-01-21 09:49:45.210,2020-01-21 15:00:00.000,1,-0.051948051948051965
002603,2020-01-21,14,2020-01-21 13:00:00.000,2020-01-21 11:29:26.370,2020-01-21 15:00:00.000,1,-0.026265214606021825
300030,2020-01-21,3,2020-01-21 09:46:10.900,2020-01-21 09:45:05.080,2020-01-21 10:18:42.420,1,-0.010165184243964398
300086,2020-01-21,1,2020-01-21 14:11:38.120,2020-01-21 14:09:13.400,2020-01-21 15:00:00.000,1,-0.06927175843694489
300256,2020-01-21,1,2020-01-21 10:04:32.430,2020-01-21 10:03:58.470,2020-01-21 15:00:00.000,1,0.058321479374110925
