code,date,uplimit_times,fake_time,uplimit_time,break_time,min_bigorder,yield_rate
000810,2020-01-02,13,2020-01-02 13:43:45.740,2020-01-02 13:41:20.420,2020-01-02 13:50:49.070,2,0.012130401819560266
002623,2020-01-02,3,2020-01-02 14:44:24.860,2020-01-02 10:24:38.260,2020-01-02 15:00:00.000,2,-0.01589889930697108
300132,2020-01-02,1,2020-01-02 09:38:06.110,2020-01-02 09:37:41.510,2020-01-02 09:43:40.170,2,0.039571310799670016
300264,2020-01-02,3,2020-01-02 10:49:22.510,2020-01-02 10:48:13.120,2020-01-02 15:00:00.000,2,0.10000000000000007
000892,2020-01-03,4,2020-01-03 09:48:15.770,2020-01-03 09:44:38.070,2020-01-03 15:00:00.000,2,-0.009063444108761365
002041,2020-01-03,5,2020-01-03 09:47:38.990,2020-01-03 09:46:55.180,2020-01-03 09:48:14.120,2,-0.0997566909975669
002530,2020-01-03,4,2020-01-03 09:55:09.750,2020-01-03 09:54:17.540,2020-01-03 09:55:37.730,2,0.07560137457044669
002530,2020-01-03,25,2020-01-03 14:20:55.710,2020-01-03 13:31:15.140,2020-01-03 15:00:00.000,2,0.07560137457044669
002878,2020-01-03,8,2020-01-03 10:53:43.980,2020-01-03 09:49:10.050,2020-01-03 13:00:02.810,2,-0.054901960784313635
300189,2020-01-03,2,2020-01-03 10:36:38.720,2020-01-03 10:36:14.310,2020-01-03 15:00:00.000,2,-0.028645833333333263
300592,2020-01-03,1,2020-01-03 09:36:27.350,2020-01-03 09:36:14.040,2020-01-03 09:36:41.710,2,-0.07093195931959329
300643,2020-01-03,1,2020-01-03 10:28:02.880,2020-01-03 10:27:31.760,2020-01-03 10:30:37.300,2,0.05591916083512905
002165,2020-01-15,2,2020-01-15 14:33:48.550,2020-01-15 14:33:18.930,2020-01-15 14:34:26.400,2,-0.052631578947368585
002776,2020-01-15,6,2020-01-15 13:21:07.300,2020-01-15 13:20:24.330,2020-01-15 15:00:00.000,2,-0.01345755693581785
300202,2020-01-15,3,2020-01-15 10:50:25.720,2020-01-15 10:49:24.930,2020-01-15 10:56:59.770,2,-0.04083204930662565
000700,2020-01-16,13,2020-01-16 10:13:40.360,2020-01-16 10:12:17.410,2020-01-16 15:00:00.000,2,0.09960681520314553
000998,2020-01-16,2,2020-01-16 14:37:32.510,2020-01-16 14:37:00.070,2020-01-16 14:40:10.280,2,-0.02491614758025873
300573,2020-01-16,1,2020-01-16 13:28:39.250,2020-01-16 13:05:24.380,2020-01-16 13:35:18.730,2,0.0
300603,2020-01-16,1,2020-01-16 10:03:01.220,2020-01-16 10:02:39.200,2020-01-16 10:10:08.100,2,0.09992810927390372
002166,2020-01-20,2,2020-01-20 10:10:51.950,2020-01-20 10:09:59.920,2020-01-20 10:11:14.610,2,0.10000000000000007
002316,2020-01-20,3,2020-01-20 11:02:12.570,2020-01-20 11:01:17.490,2020-01-20 11:02:33.960,2,-0.044071353620146914
002324,2020-01-20,2,2020-01-20 14:00:14.450,2020-01-20 13:59:58.300,2020-01-20 14:00:43.020,2,-0.024621212121212155
002529,2020-01-20,1,2020-01-20 09:40:11.840,2020-01-20 09:35:58.460,2020-01-20 10:13:05.310,2,0.06323529411764706
002603,2020-01-20,17,2020-01-20 13:00:01.010,2020-01-20 11:06:57.860,2020-01-20 15:00:00.000,2,0.10007047216349553
300221,2020-01-20,1,2020-01-20 09:32:22.900,2020-01-20 09:31:38.430,2020-01-20 09:33:03.690,2,-0.09538002980625926
300318,2020-01-20,1,2020-01-20 14:39:02.070,2020-01-20 14:38:03.570,2020-01-20 15:00:00.000,2,0.10044642857142838
300603,2020-01-20,5,2020-01-20 09:58:40.020,2020-01-20 09:51:07.400,2020-01-20 15:00:00.000,2,0.1001188354129532
000952,2020-01-21,2,2020-01-21 13:00:37.050,2020-01-21 13:00:00.330,2020-01-21 13:01:51.750,2,-0.0381315538608199
002584,2020-01-21,1,2020-01-21 09:50:07.210,2020-01-21 09:49:45.210,2020-01-21 15:00:00.000,2,-0.051948051948051965
002603,2020-01-21,14,2020-01-21 13:00:00.000,2020-01-21 11:29:26.370,2020-01-21 15:00:00.000,2,-0.026265214606021825
300030,2020-01-21,3,2020-01-21 09:46:10.900,2020-01-21 09:45:05.080,2020-01-21 10:18:42.420,2,-0.010165184243964398
300086,2020-01-21,1,2020-01-21 14:11:40.000,2020-01-21 14:09:13.400,2020-01-21 15:00:00.000,2,-0.06927175843694489
300256,2020-01-21,1,2020-01-21 10:04:34.200,2020-01-21 10:03:58.470,2020-01-21 15:00:00.000,2,0.058321479374110925
300603,2020-01-21,2,2020-01-21 09:45:43.550,2020-01-21 09:44:21.850,2020-01-21 09:46:02.980,2,-0.04266810694031864
000518,2020-01-22,13,2020-01-22 10:32:43.450,2020-01-22 10:03:19.130,2020-01-22 10:39:49.590,2,0.1002004008016033
300499,2020-01-22,2,2020-01-22 13:09:46.500,2020-01-22 13:01:10.150,2020-01-22 13:11:00.390,2,0.09971509971509973
300641,2020-01-22,1,2020-01-22 09:34:09.280,2020-01-22 09:33:59.350,2020-01-22 09:39:10.840,2,-0.14685314685314674
002584,2020-01-23,1,2020-01-23 14:23:04.610,2020-01-23 14:22:28.560,2020-01-23 15:00:00.000,2,0.09968847352024923
300342,2020-01-23,1,2020-01-23 10:05:56.300,2020-01-23 10:05:01.830,2020-01-23 10:18:12.940,2,-0.10018050541516244
300342,2020-01-23,5,2020-01-23 11:25:00.120,2020-01-23 10:45:59.490,2020-01-23 13:09:27.330,2,-0.10018050541516244
000698,2020-02-03,1,2020-02-03 10:43:44.990,2020-02-03 10:43:04.650,2020-02-03 15:00:00.000,2,0.061224489795918435
002341,2020-02-03,1,2020-02-03 11:01:28.570,2020-02-03 10:59:20.570,2020-02-03 11:02:17.640,2,0.012784090909090828
002160,2020-02-04,1,2020-02-04 09:49:19.380,2020-02-04 09:49:09.160,2020-02-04 09:49:38.780,2,0.10086455331412104
002160,2020-02-04,2,2020-02-04 09:50:45.920,2020-02-04 09:50:00.320,2020-02-04 15:00:00.000,2,0.10086455331412104
300282,2020-02-04,1,2020-02-04 11:21:03.590,2020-02-04 11:20:17.740,2020-02-04 15:00:00.000,2,0.10209424083769614
